"Timestamp","How would you rate the guest lecture overall?","This lecture helped me better understand the topic of attention","How engaging did you find the lecture?","Instructions and explanations were easy to follow","The examples (videos and demonstration) helped me understand the material.","The pacing of the lecture was:","What part of the lecture did you find most helpful or interesting/what worked best for you?","What helped keep your attention during the lecture?","What could be improved for future guest lectures?","What would you like to see more of in future lectures?","Any additional feedback or suggestions?"
"2026/02/03 8:02:44 PM PST","4","5","5","5","5","5","I thought it was helpful that Isha was very enthusiastic about what she was talking about","The variety of videos","Slowing down just a little bit","More discussion","Great job for a first lecture, it was really impressive and brave"
"2026/02/03 9:08:45 PM PST","4","4","4","4","5","5","Understanding and engaging with the videos","Listening to the lecture","Slowing down to let the students take notes","It was great as is","Be confident!"
"2026/02/03 9:36:44 PM PST","5","5","5","5","5","4","I liked the videos and visuals.","I feel like it was very engaging when topics were covered and then video examples were shown.","Maybe moving past slides a little slower so we could take notes on the slides.","More examples","No :)"
"2026/02/03 9:45:49 PM PST","5","3","4","3","4","4","The energy was very well.","The pacing with vibe","slow down a little and go over the slide content more","It was great as is",""
"2026/02/03 10:15:46 PM PST","4","3","4","4","4","4","I liked the videos the best","The videos that asked us to spot the difference","Going a little slower on the concepts ","More discussion",""
"2026/02/03 10:21:22 PM PST","5","5","5","5","4","3","The explanations were the most helpful.","The explanations helped to keep my attention during the lecture.","For improvement for future guest lectures there being more information for the examples would help.","More real-world applications","For future lectures more theory would help."
"2026/02/03 10:37:48 PM PST","5","5","5","5","5","3","Real world applications","Videos","Nothing :)","It was great as is",""
"2026/02/04 1:01:13 AM PST","5","5","5","5","5","3","The videos and how interactice the lecture was not only kept me awake, but also entertained in the topics.","The videos were incredibly good at grabbing my attention. I was looking forward to them.","More time for guest lectures, they could express more ideas and have more time for questions and examples!","More real-world applications",""
"2026/02/04 8:20:47 AM PST","4","4","4","5","5","3","Most helpful: The video applications and lecture explanations. ","The video applications because they were the most tangible. ","N/A ","More real-world applications",""
"2026/02/04 9:15:25 AM PST","5","5","5","5","5","5","I found the videos to be interesting and seeing them applied to more real life situations ","The videos being interactive, allowing us to see how each of our peers perceived the videos, etc","N/A","More real-world applications",""
"2026/02/04 12:08:46 PM PST","4","5","5","5","5","3","I thought it was helpful that you had a lot of examples to show in order to supplement the lecture.","The videos/experiments were very entertaining.","Nothing major comes to mind!","More real-world applications",""
"2026/02/04 12:09:56 PM PST","5","5","5","4","5","5","upbeat attitude, confidence, as we as the interactive examples ","videos, examples, and. vibes","just the pace was sort of fast and a bit wordy, I think dumbing it down a bit would be beneficial ","More real-world applications","YOU DID A FIRE JOB "
"2026/02/04 12:11:16 PM PST","4","4","4","4","4","4","the examples","the ways the audience were also apart of the lecture as in they also played a role","maybe more louder","More real-world applications",""
"2026/02/04 1:55:45 PM PST","5","5","5","5","5","4","The examples","The engaging examples","Talk more clearly","It was great as is",""
"2026/02/04 2:00:28 PM PST","4","4","5","3","4","5","I liked the use of videos, it kept me engaged. ","The videos","I would just say go a little slower, talk about how the topics connect to the video. ","More real-world applications",""
"2026/02/04 10:20:47 PM PST","4","4","5","4","4","5","I enjoyed the videos","I appreciated the active engagement ","I thought it was pretty good!","It was great as is",""
"2026/02/05 7:35:44 AM PST","5","5","5","5","5","5","Reading about change blindness I thought no way I wouldn’t notice a completely different person but watching the videos I missed most of the changes! It really grounded my understanding. ","Your mix of lecture and videos. ","Go a little slower. I couldn’t take notes during your portion but you did an amazing job for your first time!","More real-world applications","So sweet we were a part of your first lecture. Can’t wait to see what you have ahead of you!"
"2026/02/05 12:37:59 PM PST","3","3","3","4","4","3","having visual things to learn with made it easier and more inclusive thus making the overall experience better","my honest anwser my snack I had, but also the videos that were being shared","using a louder more confident voice, your an amazing GE and you obviously have earned the postion you are in, don't be afraid to roar like a lion. Make people hear you. ","More real-world applications",""
"2026/02/06 10:09:26 AM PST","4","5","4","4","4","4","The part with gorilla walking through the group of people.","The pacing was strong and concepts were interesting.","I'm not 100% sure, sorry.","More discussion","I really liked it.  Keep up the good work."
"2026/02/06 12:42:15 PM PST","2","2","1","2","1","3","N/A","Not much, was doing my quiz","Too much text on the slides, and the fact that this lecture was before the midterm was horrible decision making.","More discussion","no"
"2026/02/08 10:21:06 PM PST","5","5","4","4","5","5"," "," "," ","More examples",""
